loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,39,Historical,bcc-csm1-1-m,1990,22may1990,01jun1990,15jun1990,370,516,747,998,.0125797706049876,.1509646409972667,.6804222892192751,.1579838190064852,.9626430341478045,.9570824415520354,2518,2588,0,14,14,39.995079,14.845982,6.1245537,1,,,
East Oroville,48.980461,-119.41203,40,Historical,bcc-csm1-1-m,1991,30may1991,13jun1991,27jun1991,375,532,741,991,.0141687136091938,.1800646534163167,.6679123498212061,.1670000887723324,.9598291489785251,.932595870725347,2363,2454,0,14,14,46.701511,17.909487,8.1321354,1,,,
East Oroville,48.980461,-119.41203,41,Historical,bcc-csm1-1-m,1992,02jun1992,13jun1992,27jun1992,373,525,708,862,.0135153116235142,.1670000887723324,.5947431028936805,.1633615847384016,.8646794184245494,.8475256027671043,2206,2295,0,14,14,61.596699,23.754881,13.292221,1,,,
East Oroville,48.980461,-119.41203,42,Historical,bcc-csm1-1-m,1993,05jun1993,18jun1993,02jul1993,374,521,699,954,.0138389932426956,.1597656811991448,.5736624223446402,.1651755351451852,.941675135781153,.9332459964844978,2165,2277,0,14,14,54.11124,17.708658,9.6679516,1,,,
East Oroville,48.980461,-119.41203,43,Historical,bcc-csm1-1-m,1994,31may1994,12jun1994,26jun1994,372,528,685,941,.0131975958148788,.1725368800660678,.5401013799569945,.1615582847413053,.9338095116714638,.9096333205318224,2515,2579,0,14,14,42.945099,17.911453,7.0560503,1,,,
East Oroville,48.980461,-119.41203,44,Historical,bcc-csm1-1-m,1995,22may1995,07jun1995,21jun1995,378,525,718,923,.0151948384005804,.1670000887723324,.617642004826596,.1725368800660678,.9214525401594607,.9117944930526156,2640,2719,0,14,14,48.33139,17.392424,7.2640328,1,,,
East Oroville,48.980461,-119.41203,45,Historical,bcc-csm1-1-m,1996,20may1996,06jun1996,20jun1996,375,527,783,964,.0141687136091938,.1706808112511181,.749668647654776,.1670000887723324,.9471689623573216,.9293195262693421,2629,2810,0,14,14,43.044167,16.505051,6.9496031,1,,,
East Oroville,48.980461,-119.41203,46,Historical,bcc-csm1-1-m,1997,02jun1997,12jun1997,26jun1997,377,521,761,946,.0148465629584921,.1597656811991448,.7085630570400538,.1706808112511181,.9369351730966485,.9330037401901298,2105,2188,0,14,14,52.35574,18.616249,9.7415829,1,,,
East Oroville,48.980461,-119.41203,47,Historical,bcc-csm1-1-m,1998,04jun1998,15jun1998,29jun1998,371,530,715,984,.0128857730218822,.1762801743775738,.6108337279085025,.1597656811991448,.9568314141105266,.9274311479102154,2488,2618,0,14,14,40.710781,17.740786,7.0018024,1,,,
East Oroville,48.980461,-119.41203,48,Historical,bcc-csm1-1-m,1999,22may1999,02jun1999,16jun1999,371,522,735,926,.0128857730218822,.1615582847413053,.6551436451455439,.1597656811991448,.9236366972395078,.9089583206754651,2578,2708,0,14,14,45.760212,17.11871,7.6055288,1,,,
East Oroville,48.980461,-119.41203,49,Historical,bcc-csm1-1-m,2000,30may2000,08jun2000,22jun2000,377,530,780,980,.0148465629584921,.1762801743775738,.7442938525903937,.1706808112511181,.9550322858023548,.934586359717407,2637,2794,0,14,14,42.504894,16.853745,6.7340817,1,,,
