"location","ann_prec_mean","centroid","cluster","fips"
"48.84375_-121.34375",3115.13,2759.57,"less precip",53073
"48.84375_-121.40625",2786.37,2759.57,"less precip",53073
"48.84375_-121.46875",2754.27,2759.57,"less precip",53073
"48.84375_-121.53125",3016.48,2759.57,"less precip",53073
"48.84375_-121.59375",2929.87,2759.57,"less precip",53073
"48.84375_-121.65625",2753.02,2759.57,"less precip",53073
"48.84375_-121.71875",2833.6,2759.57,"less precip",53073
"48.84375_-121.78125",2342.11,2055.41,"lesser precip",53073
"48.84375_-121.84375",2435.24,2759.57,"less precip",53073
"48.84375_-121.90625",2250.99,2055.41,"lesser precip",53073
"48.84375_-121.96875",2515.22,2759.57,"less precip",53073
"48.84375_-122.03125",2969.52,2759.57,"less precip",53073
"48.84375_-122.09375",2354.46,2055.41,"lesser precip",53073
"48.84375_-122.15625",1637.66,2055.41,"lesser precip",53073
"48.84375_-122.21875",2007.56,2055.41,"lesser precip",53073
"48.84375_-122.28125",1504.21,1211.6,"least precip",53073
"48.84375_-122.34375",1154.35,1211.6,"least precip",53073
"48.84375_-122.40625",1062.96,1211.6,"least precip",53073
"48.84375_-122.46875",1020.59,1211.6,"least precip",53073
"48.84375_-122.53125",942.37,1211.6,"least precip",53073
"48.84375_-122.59375",881.87,1211.6,"least precip",53073
"48.84375_-122.65625",929.9,1211.6,"least precip",53073
"48.84375_-122.71875",974.16,1211.6,"least precip",53073
"48.90625_-120.78125",1306.27,1211.6,"least precip",53073
"48.90625_-120.84375",1271.75,1211.6,"least precip",53073
"48.90625_-120.90625",1293.99,1211.6,"least precip",53073
"48.90625_-120.96875",1411.93,1211.6,"least precip",53073
"48.90625_-121.03125",1315.13,1211.6,"least precip",53073
"48.90625_-121.09375",1376.45,1211.6,"least precip",53073
"48.90625_-121.15625",2285.41,2055.41,"lesser precip",53073
"48.90625_-121.21875",2242.1,2055.41,"lesser precip",53073
"48.90625_-121.28125",2545.62,2759.57,"less precip",53073
"48.90625_-121.34375",2808.98,2759.57,"less precip",53073
"48.90625_-121.40625",2439.4,2759.57,"less precip",53073
"48.90625_-121.46875",2641.93,2759.57,"less precip",53073
"48.90625_-121.53125",2946.03,2759.57,"less precip",53073
"48.90625_-121.59375",2945.35,2759.57,"less precip",53073
"48.90625_-121.65625",2574.82,2759.57,"less precip",53073
"48.90625_-121.71875",2401.19,2055.41,"lesser precip",53073
"48.90625_-121.78125",2130.57,2055.41,"lesser precip",53073
"48.90625_-121.84375",2032.08,2055.41,"lesser precip",53073
"48.90625_-121.90625",1997.45,2055.41,"lesser precip",53073
"48.90625_-121.96875",1951.62,2055.41,"lesser precip",53073
"48.90625_-122.03125",1855.88,2055.41,"lesser precip",53073
"48.90625_-122.09375",1672.09,2055.41,"lesser precip",53073
"48.90625_-122.15625",1672.23,2055.41,"lesser precip",53073
"48.90625_-122.21875",2509.87,2759.57,"less precip",53073
"48.90625_-122.28125",1408.07,1211.6,"least precip",53073
"48.90625_-122.34375",1137.54,1211.6,"least precip",53073
"48.90625_-122.40625",1168.26,1211.6,"least precip",53073
"48.90625_-122.46875",1181.99,1211.6,"least precip",53073
"48.90625_-122.53125",1133.3,1211.6,"least precip",53073
"48.90625_-122.59375",1083.9,1211.6,"least precip",53073
"48.90625_-122.65625",1069.52,1211.6,"least precip",53073
"48.90625_-122.71875",1072.27,1211.6,"least precip",53073
"48.96875_-120.90625",1292.89,1211.6,"least precip",53073
"48.96875_-120.96875",1249.27,1211.6,"least precip",53073
"48.96875_-121.03125",1248.61,1211.6,"least precip",53073
"48.96875_-121.09375",1119.94,1211.6,"least precip",53073
"48.96875_-121.15625",2143.51,2055.41,"lesser precip",53073
"48.96875_-121.21875",2544.37,2759.57,"less precip",53073
"48.96875_-121.28125",2683.9,2759.57,"less precip",53073
"48.96875_-121.34375",2591.29,2759.57,"less precip",53073
"48.96875_-121.40625",2040.11,2055.41,"lesser precip",53073
"48.96875_-121.46875",2726.56,2759.57,"less precip",53073
"48.96875_-121.53125",2730.92,2759.57,"less precip",53073
"48.96875_-121.59375",2530.81,2759.57,"less precip",53073
"48.96875_-121.65625",2805.74,2759.57,"less precip",53073
"48.96875_-121.71875",2323.7,2055.41,"lesser precip",53073
"48.96875_-121.78125",2056.11,2055.41,"lesser precip",53073
"48.96875_-121.84375",2225.39,2055.41,"lesser precip",53073
"48.96875_-121.90625",2424.03,2759.57,"less precip",53073
"48.96875_-121.96875",2453.22,2759.57,"less precip",53073
"48.96875_-122.03125",1882.21,2055.41,"lesser precip",53073
"48.96875_-122.09375",1642.96,2055.41,"lesser precip",53073
"48.96875_-122.15625",1583,1211.6,"least precip",53073
"48.96875_-122.21875",1512.5,1211.6,"least precip",53073
"48.96875_-122.28125",1181.6,1211.6,"least precip",53073
"48.96875_-122.34375",1213.83,1211.6,"least precip",53073
"48.96875_-122.40625",1310.27,1211.6,"least precip",53073
"48.96875_-122.46875",1338.02,1211.6,"least precip",53073
"48.96875_-122.53125",1328.42,1211.6,"least precip",53073
"48.96875_-122.59375",1301.47,1211.6,"least precip",53073
"48.96875_-122.65625",1276.78,1211.6,"least precip",53073
"48.96875_-122.71875",1136.9,1211.6,"least precip",53073
"49.03125_-122.15625",1375.32,1211.6,"least precip",53073
"49.03125_-122.21875",1380.08,1211.6,"least precip",53073
"49.03125_-122.28125",1318.11,1211.6,"least precip",53073
"49.03125_-122.34375",1466.66,1211.6,"least precip",53073
"49.03125_-122.40625",1559.95,1211.6,"least precip",53073
"49.03125_-122.46875",1580.07,1211.6,"least precip",53073
"49.03125_-122.53125",1498.27,1211.6,"least precip",53073
"49.03125_-122.59375",1414.49,1211.6,"least precip",53073
"49.03125_-122.65625",1346.17,1211.6,"least precip",53073
"49.03125_-122.71875",1206.18,1211.6,"least precip",53073
