"location","ann_prec_mean","centroid","cluster","fips"
"48.21875_-121.03125",1982.76,2055.41,"lesser precip",53061
"48.21875_-121.09375",2205.82,2055.41,"lesser precip",53061
"48.21875_-121.15625",2359.53,2055.41,"lesser precip",53061
"48.21875_-121.21875",2616.03,2759.57,"less precip",53061
"48.21875_-121.28125",2695.61,2759.57,"less precip",53061
"48.21875_-121.34375",2791.23,2759.57,"less precip",53061
"48.21875_-121.40625",3056.83,2759.57,"less precip",53061
"48.21875_-121.46875",3174.76,2759.57,"less precip",53061
"48.21875_-121.53125",2839.04,2759.57,"less precip",53061
"48.21875_-121.59375",2938.21,2759.57,"less precip",53061
"48.21875_-121.65625",3267.28,3701.32,"most precip",53061
"48.21875_-121.71875",3954.77,3701.32,"most precip",53061
"48.21875_-121.78125",3571.86,3701.32,"most precip",53061
"48.21875_-121.84375",3292,3701.32,"most precip",53061
"48.21875_-121.90625",3018.27,2759.57,"less precip",53061
"48.21875_-121.96875",2116.61,2055.41,"lesser precip",53061
"48.21875_-122.03125",1682.83,2055.41,"lesser precip",53061
"48.21875_-122.09375",1252.78,1211.6,"least precip",53061
"48.21875_-122.15625",1209.92,1211.6,"least precip",53061
"48.21875_-122.21875",1179.65,1211.6,"least precip",53061
"48.21875_-122.28125",1061.45,1211.6,"least precip",53061
"48.21875_-122.34375",910.23,1211.6,"least precip",53061
"48.28125_-121.03125",2106.42,2055.41,"lesser precip",53061
"48.28125_-121.09375",2248.3,2055.41,"lesser precip",53061
"48.28125_-121.15625",2369.56,2055.41,"lesser precip",53061
"48.28125_-121.21875",2592.47,2759.57,"less precip",53061
"48.28125_-121.28125",2673.37,2759.57,"less precip",53061
"48.28125_-121.34375",2691.48,2759.57,"less precip",53061
"48.28125_-121.40625",2487.81,2759.57,"less precip",53061
"48.28125_-121.46875",2914.89,2759.57,"less precip",53061
"48.28125_-121.53125",2277.28,2055.41,"lesser precip",53061
"48.28125_-121.59375",2545.45,2759.57,"less precip",53061
