"location","cluster"
"48.78125_-121.09375","5"
"48.84375_-120.78125","5"
"48.84375_-120.84375","5"
"48.84375_-120.90625","5"
"48.84375_-120.96875","5"
"48.84375_-121.09375","5"
"48.90625_-120.78125","5"
"48.90625_-120.84375","5"
"48.90625_-120.90625","5"
"48.90625_-120.96875","5"
"48.90625_-121.03125","5"
"48.90625_-121.09375","5"
"48.96875_-120.90625","5"
"48.96875_-120.96875","5"
"48.96875_-121.15625","5"
"48.96875_-121.40625","5"
"48.96875_-121.78125","5"
"48.96875_-122.03125","5"
