Varroa Population Simulation - Aug 13,2019  11:42:04 AM
VarroaPop Version 3.2.8.16 September 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
02/16/2002  23793   2715  11000   7137      0     40      0    351      0    374      0      0      0   0.00   0.00      0   0.00 2556.0  0.000 9465.1  0.000      0      0      0      0      0      5.000   10.115  0.000
02/17/2002  23494   2430   9000   7048      0     85      0    417      0    461      0      0      0   0.00   0.00      0   0.00 2485.3  0.000 9318.6  0.000      0      0      0      0      0      5.000   12.910  3.000
02/18/2002  23194   2145   7000   6958      0    154      0    472      0    600      0      0      0   0.00   0.00      0   0.00 2411.3  0.000 9173.5  0.000      0      0      0      0      0      5.000   15.245  0.950
02/19/2002  22292   1860   5000   6687      0    233      0    532      0    691      0      0      0   0.00   0.00      0   0.00 2853.9  0.000 9118.3  0.000      0      0      0      0      0      5.000   10.855  0.000
02/20/2002  21990   1575   3334   6597      0    317      0    646      0    811      0      0      0   0.00   0.00      0   0.00 2776.4  0.000 8978.8  0.000      0      0      0      0      0      5.000   14.305  2.200
02/21/2002  21087   1290   1668   6326      0    391      0    835      0    868      0      0      0   0.00   0.00      0   0.00 3188.6  0.000 8925.1  0.000      0      0      0      0      0      5.000   12.595  0.000
02/22/2002  20178   1000      0   6053      0    502      0    954      1   1051      0      0      0   0.00   0.00      0   0.00 3579.9  0.000 8872.4  0.000      0      0      0      0      0      5.000   15.755  0.000
02/23/2002  19826    667      0   5947      0    626      0   1148      2   1130      0      0      0   0.00   0.00      0   0.00 3501.9  0.000 8743.0  0.000      0      0      0      0      0      5.000   13.505  0.800
02/24/2002  18876    334      0   5662      0    765      0   1329      4   1203      0      0      0   0.00   0.00      0   0.00 3866.9  0.000 8692.1  0.000      0      0      0      0      0      5.000   12.430  0.000
02/25/2002  17926      0      0   5377      0    963      1   1544      6   1249      0      0      0   0.00   0.00      0   0.00 4213.0  0.000 8642.4  0.000      0      0      0      0      0      5.000   14.365  0.000
02/26/2002  17311      0      0   5193      0   1226      2   1678      8   1288      0      0      0   0.00   0.00      0   0.00 4547.3  0.000 8593.6  0.000      0      0      0      0      0      5.000   12.745  0.000
02/27/2002  16697      0      0   5009      0   1456      4   1841      9   1350      0      0      0   0.00   0.00      0   0.00 4869.7  0.000 8545.7  0.000      0      0      0      0      0      5.000   12.830  0.000
02/28/2002  14874      0     10   4462      0   1764      7   1982     10   1436      0      0      0   0.00   0.00      0   0.00 5156.9  0.000 8500.6  0.000      0      0      0      0      0      5.000   15.525  0.000
03/01/2002  12921      0     40   3876      0   2054     10   2098     12   1610      0      0      0   0.00   0.00      0   0.00 5406.2  0.000 8458.6  0.000      0      0      0      0      0      5.000   17.960  0.000
03/02/2002   7012      0     85   2103      0   2422     13   2140     14   1780      0      0      0   0.00   0.00      0   0.00 5553.0  0.000 8108.0  0.000      0      0      0      0      0      5.000   18.795  0.000
03/03/2002   3446      0    154   1033      0   2750     17   2288     12   1732      0      0      0   0.00   0.00      0   0.00 5619.0  0.000 8088.4  0.000      0      0      0      0      0      5.000   17.920  0.000
03/04/2002   3521      0    233   1056      1   3064     21   2505      7   1456      0      0      0   0.00   0.00      0   0.00 5604.3  0.000 8051.8  0.000      0      0      0      0      0      5.000   15.905  2.875
03/05/2002   1961      0    317    588      2   3439     25   2671      2   1180      0      0      0   0.00   0.00      0   0.00 5641.2  0.000 8038.1  0.000      0      0      0      0      0      5.000   16.090  0.125
03/06/2002    391      0    391      0      4   3801     25   2732      0    997      0      0      0   0.00   0.00      0   0.00 5635.9  0.000 7911.7  0.000      0      0      0      0      0      5.000   23.720  0.000
03/07/2002    502      0    502      0      7   4145     22   2611      0    663      0      0      0   0.00   0.00      0   0.00 5629.4  0.000 7758.1  0.000      0      0      0      0      0      5.000   26.945  0.000
03/08/2002    626      0    626      0     10   4566     19   2415      0    314      0      0      0   0.00   0.00      0   0.00 5621.8  0.000 7582.0  0.000      0      0      0      0      0      5.000   19.770  0.000
03/09/2002    765      0    765      0     13   5037     16   2119      0      0      0      0      0   0.00   0.00      0   0.00 5616.7  0.000 7570.0  0.000      0      0      0      0      0      5.000   14.235  2.125
