OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
21,95f3c8a8,02/22/2000 12:01:00 AM,Tuesday,Feb,22,2000,0,4,4,2006,GRAND LARCENY,FELONY,A,72,BROOKLYN,N.Y. POLICE DEPT,990399,178816,"(40.657491384, -73.977839495)"
22,cee0f9db,03/23/2000 12:01:00 AM,Thursday,Mar,23,2000,0,4,28,2008,GRAND LARCENY,FELONY,H,66,BROOKLYN,N.Y. POLICE DEPT,981903,170562,"(40.634837755, -74.008457521)"
23,577959b7,04/20/2000 05:00:00 PM,Thursday,Apr,20,2000,17,4,19,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,H,47,BRONX,N.Y. POLICE DEPT,1020808,262493,"(40.8870891880001, -73.867785667)"
24,1.86507E+06,07/21/2000 08:00:00 AM,Friday,Jul,21,2000,8,11,21,2006,GRAND LARCENY,FELONY,J,71,BROOKLYN,N.Y. POLICE DEPT,1000560,179992,"(40.6607063600001, -73.9412148439999)"
25,fa9232e3,07/25/2000 11:00:00 PM,Tuesday,Jul,25,2000,23,7,26,2006,GRAND LARCENY,FELONY,G,113,QUEENS,N.Y. POLICE DEPT,1039873,186155,"(40.677462695, -73.799467341)"
26,5.04996E+12,07/30/2000 10:00:00 AM,Sunday,Jul,30,2000,10,2,7,2007,GRAND LARCENY,FELONY,J,111,QUEENS,N.Y. POLICE DEPT,1051103,217217,"(40.762642402, -73.758672201)"
27,13b71029,07/30/2000 11:45:00 AM,Sunday,Jul,30,2000,11,7,31,2006,GRAND LARCENY,FELONY,K,104,QUEENS,N.Y. POLICE DEPT,1017792,202326,"(40.721959482, -73.878993913)"
28,352c6c1b,09/27/2000 01:00:00 AM,Wednesday,Sep,27,2000,1,9,28,2010,GRAND LARCENY,FELONY,F,102,QUEENS,N.Y. POLICE DEPT,1031203,195505,"(40.70317648, -73.830659498)"
29,95d7689b,10/13/2000 12:00:00 PM,Friday,Oct,13,2000,12,9,29,2007,GRAND LARCENY,FELONY,J,73,BROOKLYN,N.Y. POLICE DEPT,1008950,180855,"(40.6630556750001, -73.910971382)"
30,8f4d92fd,11/17/2000 05:20:00 PM,Friday,Nov,17,2000,17,11,17,2006,BURGLARY,FELONY,H,72,BROOKLYN,N.Y. POLICE DEPT,980722,172840,"(40.641089987, -74.012713774)"
31,de36d5dc,11/19/2000 04:00:00 PM,Sunday,Nov,19,2000,16,11,19,2006,GRAND LARCENY,FELONY,G,115,QUEENS,N.Y. POLICE DEPT,1016138,214586,"(40.755616236, -73.884902833)"
32,a615aee7,12/09/2000 08:00:00 PM,Saturday,Dec,9,2000,20,12,10,2006,BURGLARY,FELONY,K,61,BROOKLYN,N.Y. POLICE DEPT,996717,160551,"(40.607351185, -73.9551021889999)"
33,63e23385,01/09/2001 12:00:00 AM,Tuesday,Jan,9,2001,0,11,18,2006,GRAND LARCENY,FELONY,C,94,BROOKLYN,N.Y. POLICE DEPT,997145,206387,"(40.733160126, -73.9534730939999)"
34,5db45c4d,01/09/2001 12:01:00 AM,Tuesday,Jan,9,2001,0,4,26,2006,GRAND LARCENY,FELONY,H,79,BROOKLYN,N.Y. POLICE DEPT,996838,189528,"(40.686886611, -73.9546123439999)"
35,5b28d5e4,01/09/2001 12:00:00 PM,Tuesday,Jan,9,2001,12,5,18,2006,GRAND LARCENY,FELONY,H,79,BROOKLYN,N.Y. POLICE DEPT,996838,189528,"(40.686886611, -73.9546123439999)"
36,7294780d,01/09/2001 03:00:00 PM,Tuesday,Jan,9,2001,15,7,9,2011,RAPE,FELONY,H,63,BROOKLYN,N.Y. HOUSING POLICE,1000448,168068,"(40.6279777550001, -73.941647157)"
37,716d9b05,02/11/2001 12:01:00 AM,Sunday,Feb,11,2001,0,2,13,2012,RAPE,FELONY,B,25,MANHATTAN,N.Y. POLICE DEPT,1000555,230994,"(40.800694331, -73.941109286)"
38,6b8e340f,04/20/2001 12:00:00 AM,Friday,Apr,20,2001,0,12,11,2007,GRAND LARCENY,FELONY,T,120,STATEN ISLAND,N.Y. HOUSING POLICE,938876,169548,"(40.631938635, -74.1634738339999)"
39,af5a8393,04/20/2001 12:01:00 AM,Friday,Apr,20,2001,0,1,19,2007,GRAND LARCENY,FELONY,N,67,BROOKLYN,N.Y. POLICE DEPT,1005566,180451,"(40.6619555780001, -73.9231701319999)"
40,6c29f636,07/21/2001 03:50:00 AM,Saturday,Jul,21,2001,3,7,21,2011,BURGLARY,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1002893,249675,"(40.8519637260001, -73.932612741)"
