lat,lon,cellid,stateid,apple,pears,walnut
42.84375,-85.03125,267400,26,0.001694,0.000000,0.000000
42.84375,-84.96875,267401,26,0.000702,0.000000,0.000000
42.84375,-84.90625,267402,26,0.000275,0.000000,0.000000
42.84375,-84.84375,267403,26,0.000153,0.000000,0.000000
42.84375,-84.78125,267404,26,0.000137,0.000000,0.000000
42.84375,-84.46875,267409,26,0.000092,0.000000,0.000000
42.84375,-84.40625,267410,26,0.000153,0.000000,0.000000
42.84375,-84.34375,267411,26,0.000153,0.000000,0.000000
42.84375,-83.65625,267422,26,0.000015,0.000000,0.000000
42.84375,-83.46875,267425,26,0.000031,0.000000,0.000000
42.84375,-83.15625,267430,26,0.000610,0.000000,0.000000
42.84375,-83.09375,267431,26,0.001083,0.000000,0.000000
42.84375,-83.03125,267432,26,0.000092,0.000000,0.000000
42.84375,-82.96875,267433,26,0.000290,0.000000,0.000000
42.84375,-82.90625,267434,26,0.002380,0.000000,0.000000
42.84375,-82.84375,267435,26,0.000320,0.000000,0.000000
42.84375,-78.78125,267500,36,0.000214,0.000000,0.000000
42.84375,-77.53125,267520,36,0.000031,0.000000,0.000000
42.84375,-77.46875,267521,36,0.000198,0.000000,0.000000
42.84375,-77.40625,267522,36,0.000153,0.000000,0.000000
42.84375,-77.34375,267523,36,0.000168,0.000000,0.000000
42.84375,-77.21875,267525,36,0.000183,0.000000,0.000000
42.84375,-77.15625,267526,36,0.000031,0.000000,0.000000
42.84375,-77.09375,267527,36,0.000031,0.000000,0.000000
42.84375,-77.03125,267528,36,0.009338,0.000000,0.000000
42.84375,-76.96875,267529,36,0.005371,0.000000,0.000000
42.84375,-76.90625,267530,36,0.000259,0.000000,0.000000
42.84375,-76.53125,267536,36,0.000031,0.000000,0.000000
42.84375,-76.46875,267537,36,0.000168,0.000000,0.000000
42.84375,-76.40625,267538,36,0.000275,0.000061,0.000000
42.84375,-76.34375,267539,36,0.000076,0.000046,0.000000
42.84375,-76.28125,267540,36,0.000031,0.000000,0.000000
42.84375,-76.21875,267541,36,0.001633,0.000015,0.000000
42.84375,-76.15625,267542,36,0.000229,0.000000,0.000000
42.84375,-76.09375,267543,36,0.000046,0.000000,0.000000
42.84375,-76.03125,267544,36,0.000061,0.000000,0.000000
42.84375,-75.96875,267545,36,0.000229,0.000000,0.000000
42.84375,-75.53125,267552,36,0.000092,0.000000,0.000000
42.84375,-74.78125,267564,36,0.000031,0.000000,0.000000
42.84375,-74.71875,267565,36,0.000046,0.000000,0.000000
42.84375,-74.28125,267572,36,0.000107,0.000000,0.000000
42.84375,-74.21875,267573,36,0.000046,0.000000,0.000000
42.84375,-74.03125,267576,36,0.000687,0.000000,0.000000
42.84375,-73.96875,267577,36,0.000046,0.000000,0.000000
42.84375,-73.90625,267578,36,0.000076,0.000000,0.000000
42.84375,-73.84375,267579,36,0.001175,0.000000,0.000000
42.84375,-73.78125,267580,36,0.000854,0.000000,0.000000
42.84375,-73.71875,267581,36,0.000183,0.000000,0.000000
42.84375,-73.65625,267582,36,0.000015,0.000000,0.000000
42.84375,-73.53125,267584,36,0.000061,0.000000,0.000000
42.84375,-72.59375,267599,50,0.000656,0.000000,0.000000
42.84375,-72.46875,267601,33,0.000046,0.000000,0.000000
42.84375,-72.34375,267603,33,0.000076,0.000000,0.000000
