"location","elevation","state_fips","state","lat","long","biofix"
"36.59375_-119.40625",109.4,"06","CA",36.59375,-119.40625,213.41529265625
"36.59375_-119.46875",105.5,"06","CA",36.59375,-119.46875,213.55062265625
"36.59375_-119.53125",103.8,"06","CA",36.59375,-119.53125,213.60961265625
"36.59375_-119.59375",100.2,"06","CA",36.59375,-119.59375,213.73453265625
"36.59375_-119.65625",95.2,"06","CA",36.59375,-119.65625,213.90803265625
"36.59375_-119.71875",88.8,"06","CA",36.59375,-119.71875,214.13011265625
"36.59375_-119.84375",77.7,"06","CA",36.59375,-119.84375,214.51528265625
"36.59375_-119.96875",66.8,"06","CA",36.59375,-119.96875,214.89351265625
"36.59375_-120.09375",56.4,"06","CA",36.59375,-120.09375,215.25439265625
"36.59375_-80.71875",484.7,"51","VA",36.59375,-80.71875,200.39238265625
"36.65625_-119.40625",122.1,"06","CA",36.65625,-119.40625,211.89585265625
"36.65625_-119.46875",109.5,"06","CA",36.65625,-119.46875,212.33307265625
"36.65625_-119.53125",106.6,"06","CA",36.65625,-119.53125,212.43370265625
"36.65625_-119.59375",105.2,"06","CA",36.65625,-119.59375,212.48228265625
"36.65625_-119.65625",99.5,"06","CA",36.65625,-119.65625,212.68007265625
"36.65625_-119.71875",93.6,"06","CA",36.65625,-119.71875,212.88480265625
"36.65625_-119.78125",87.3,"06","CA",36.65625,-119.78125,213.10341265625
"36.65625_-119.84375",80.6,"06","CA",36.65625,-119.84375,213.33590265625
"36.65625_-119.96875",70.3,"06","CA",36.65625,-119.96875,213.69331265625
"36.65625_-120.03125",66,"06","CA",36.65625,-120.03125,213.84252265625
"36.65625_-120.09375",61.3,"06","CA",36.65625,-120.09375,214.00561265625
"36.71875_-119.46875",121.8,"06","CA",36.71875,-119.46875,210.83279390625
"36.71875_-119.53125",115.3,"06","CA",36.71875,-119.53125,211.05834390625
"36.71875_-119.59375",111,"06","CA",36.71875,-119.59375,211.20755390625
"36.71875_-119.65625",103.4,"06","CA",36.71875,-119.65625,211.47127390625
"36.71875_-119.84375",85.5,"06","CA",36.71875,-119.84375,212.09240390625
"36.71875_-119.90625",80,"06","CA",36.71875,-119.90625,212.28325390625
"36.71875_-119.96875",76.4,"06","CA",36.71875,-119.96875,212.40817390625
"36.71875_-120.03125",71.7,"06","CA",36.71875,-120.03125,212.57126390625
"36.71875_-120.09375",65.8,"06","CA",36.71875,-120.09375,212.77599390625
"36.71875_-121.28125",239.8,"06","CA",36.71875,-121.28125,206.73819390625
