"location","fips","st_county"
"38.53125_-121.65625",6113,"CA_Yolo "
"38.53125_-121.71875",6113,"CA_Yolo "
"38.53125_-121.78125",6113,"CA_Yolo "
"38.53125_-121.84375",6095,"CA_Solano "
"38.53125_-121.90625",6095,"CA_Solano "
"38.53125_-121.96875",6113,"CA_Yolo "
"38.53125_-122.03125",6113,"CA_Yolo "
"38.59375_-121.46875",6067,"CA_Sacramento "
"38.59375_-121.59375",6113,"CA_Yolo "
"38.59375_-121.71875",6113,"CA_Yolo "
"38.59375_-121.78125",6113,"CA_Yolo "
"38.59375_-121.84375",6113,"CA_Yolo "
"38.59375_-121.90625",6113,"CA_Yolo "
"38.59375_-121.96875",6113,"CA_Yolo "
"38.65625_-121.59375",6067,"CA_Sacramento "
"38.65625_-121.65625",6113,"CA_Yolo "
"38.65625_-121.71875",6113,"CA_Yolo "
"38.65625_-121.78125",6113,"CA_Yolo "
"38.65625_-121.84375",6113,"CA_Yolo "
"38.65625_-121.90625",6113,"CA_Yolo "
"38.65625_-121.96875",6113,"CA_Yolo "
"38.65625_-122.03125",6113,"CA_Yolo "
"38.71875_-121.59375",6067,"CA_Sacramento "
"38.71875_-121.65625",6113,"CA_Yolo "
"38.71875_-121.71875",6113,"CA_Yolo "
"38.71875_-121.78125",6113,"CA_Yolo "
"38.71875_-121.84375",6113,"CA_Yolo "
"38.71875_-121.90625",6113,"CA_Yolo "
"38.71875_-121.96875",6113,"CA_Yolo "
"38.71875_-122.03125",6113,"CA_Yolo "
"38.71875_-122.09375",6113,"CA_Yolo "
"38.71875_-122.15625",6113,"CA_Yolo "
"38.78125_-121.59375",6101,"CA_Sutter "
"38.78125_-121.65625",6101,"CA_Sutter "
"38.78125_-121.71875",6113,"CA_Yolo "
"38.78125_-121.78125",6113,"CA_Yolo "
"38.78125_-121.84375",6113,"CA_Yolo "
"38.78125_-121.90625",6113,"CA_Yolo "
"38.78125_-121.96875",6113,"CA_Yolo "
"38.78125_-122.03125",6113,"CA_Yolo "
"38.78125_-122.15625",6113,"CA_Yolo "
"38.84375_-107.78125",8029,"CO_Delta "
"38.84375_-121.53125",6101,"CA_Sutter "
"38.84375_-121.59375",6101,"CA_Sutter "
"38.84375_-121.65625",6101,"CA_Sutter "
"38.84375_-121.71875",6101,"CA_Sutter "
"38.84375_-121.78125",6113,"CA_Yolo "
"38.84375_-121.84375",6113,"CA_Yolo "
"38.84375_-121.90625",6113,"CA_Yolo "
"38.84375_-121.96875",6113,"CA_Yolo "
"38.84375_-122.21875",6113,"CA_Yolo "
"38.90625_-107.96875",8029,"CO_Delta "
"38.90625_-121.34375",6061,"CA_Placer "
"38.90625_-121.40625",6061,"CA_Placer "
"38.90625_-121.53125",6101,"CA_Sutter "
"38.90625_-121.59375",6101,"CA_Sutter "
"38.90625_-121.78125",6101,"CA_Sutter "
"38.90625_-121.84375",6113,"CA_Yolo "
"38.90625_-121.90625",6113,"CA_Yolo "
"38.90625_-121.96875",6113,"CA_Yolo "
"38.90625_-122.03125",6113,"CA_Yolo "
"38.90625_-122.09375",6113,"CA_Yolo "
"38.90625_-122.21875",6113,"CA_Yolo "
"38.96875_-121.40625",6061,"CA_Placer "
"38.96875_-121.46875",6101,"CA_Sutter "
"38.96875_-121.53125",6101,"CA_Sutter "
"38.96875_-121.59375",6101,"CA_Sutter "
"38.96875_-121.65625",6101,"CA_Sutter "
"38.96875_-121.71875",6101,"CA_Sutter "
"38.96875_-121.78125",6101,"CA_Sutter "
"38.96875_-121.84375",6011,"CA_Colusa "
"38.96875_-121.90625",6011,"CA_Colusa "
"38.96875_-121.96875",6011,"CA_Colusa "
"38.96875_-122.03125",6011,"CA_Colusa "
"38.96875_-122.09375",6011,"CA_Colusa "
"39.03125_-121.34375",6061,"CA_Placer "
"39.03125_-121.40625",6115,"CA_Yuba "
"39.03125_-121.46875",6115,"CA_Yuba "
"39.03125_-121.53125",6115,"CA_Yuba "
"39.03125_-121.59375",6115,"CA_Yuba "
"39.03125_-121.65625",6101,"CA_Sutter "
"39.03125_-121.71875",6101,"CA_Sutter "
"39.03125_-121.78125",6101,"CA_Sutter "
"39.03125_-121.84375",6011,"CA_Colusa "
"39.03125_-121.90625",6011,"CA_Colusa "
"39.03125_-121.96875",6011,"CA_Colusa "
"39.03125_-122.03125",6011,"CA_Colusa "
"39.03125_-122.09375",6011,"CA_Colusa "
"39.03125_-122.15625",6011,"CA_Colusa "
"39.09375_-108.40625",8077,"CO_Mesa "
"39.09375_-121.40625",6115,"CA_Yuba "
"39.09375_-121.46875",6115,"CA_Yuba "
"39.09375_-121.59375",6115,"CA_Yuba "
"39.09375_-121.65625",6101,"CA_Sutter "
"39.09375_-121.71875",6101,"CA_Sutter "
"39.09375_-121.78125",6101,"CA_Sutter "
"39.09375_-121.84375",6101,"CA_Sutter "
"39.09375_-121.90625",6011,"CA_Colusa "
"39.09375_-121.96875",6011,"CA_Colusa "
"39.09375_-122.03125",6011,"CA_Colusa "
"39.09375_-122.09375",6011,"CA_Colusa "
"39.09375_-122.15625",6011,"CA_Colusa "
"39.09375_-122.21875",6011,"CA_Colusa "
"39.09375_-78.21875",51069,"VA_Frederick "
"39.09375_-78.28125",51069,"VA_Frederick "
"39.15625_-121.46875",6115,"CA_Yuba "
"39.15625_-121.53125",6115,"CA_Yuba "
"39.15625_-121.59375",6115,"CA_Yuba "
"39.15625_-121.65625",6101,"CA_Sutter "
"39.15625_-121.71875",6101,"CA_Sutter "
"39.15625_-121.78125",6101,"CA_Sutter "
"39.15625_-121.84375",6101,"CA_Sutter "
"39.15625_-121.90625",6101,"CA_Sutter "
"39.15625_-121.96875",6011,"CA_Colusa "
"39.15625_-122.09375",6011,"CA_Colusa "
"39.15625_-122.15625",6011,"CA_Colusa "
"39.15625_-122.21875",6011,"CA_Colusa "
"39.15625_-122.28125",6011,"CA_Colusa "
"39.15625_-78.21875",51069,"VA_Frederick "
"39.15625_-78.28125",51069,"VA_Frederick "
"39.21875_-121.46875",6115,"CA_Yuba "
"39.21875_-121.53125",6115,"CA_Yuba "
"39.21875_-121.59375",6115,"CA_Yuba "
"39.21875_-121.65625",6101,"CA_Sutter "
"39.21875_-121.71875",6101,"CA_Sutter "
"39.21875_-121.90625",6101,"CA_Sutter "
"39.21875_-121.96875",6011,"CA_Colusa "
"39.21875_-122.03125",6011,"CA_Colusa "
"39.21875_-122.28125",6011,"CA_Colusa "
"39.21875_-78.15625",51069,"VA_Frederick "
"39.21875_-78.21875",51069,"VA_Frederick "
"39.28125_-121.53125",6115,"CA_Yuba "
"39.28125_-121.59375",6115,"CA_Yuba "
"39.28125_-121.65625",6101,"CA_Sutter "
"39.28125_-121.71875",6101,"CA_Sutter "
"39.28125_-121.78125",6101,"CA_Sutter "
"39.28125_-121.84375",6101,"CA_Sutter "
"39.28125_-121.90625",6101,"CA_Sutter "
"39.28125_-121.96875",6011,"CA_Colusa "
"39.28125_-122.03125",6011,"CA_Colusa "
"39.28125_-122.21875",6011,"CA_Colusa "
"39.28125_-122.28125",6011,"CA_Colusa "
"39.28125_-78.09375",51069,"VA_Frederick "
"39.28125_-78.15625",51069,"VA_Frederick "
"39.34375_-121.46875",6007,"CA_Butte "
"39.34375_-121.53125",6007,"CA_Butte "
"39.34375_-121.59375",6007,"CA_Butte "
"39.34375_-121.65625",6007,"CA_Butte "
"39.34375_-121.71875",6007,"CA_Butte "
"39.34375_-121.78125",6007,"CA_Butte "
"39.34375_-121.84375",6007,"CA_Butte "
"39.34375_-121.96875",6011,"CA_Colusa "
"39.34375_-122.03125",6011,"CA_Colusa "
"39.34375_-122.09375",6011,"CA_Colusa "
"39.34375_-122.15625",6011,"CA_Colusa "
"39.34375_-122.21875",6011,"CA_Colusa "
"39.34375_-122.28125",6011,"CA_Colusa "
"39.34375_-77.84375",54037,"WV_Jefferson "
"39.34375_-78.09375",54003,"WV_Berkeley "
"39.40625_-121.53125",6007,"CA_Butte "
"39.40625_-121.59375",6007,"CA_Butte "
"39.40625_-121.65625",6007,"CA_Butte "
"39.40625_-121.71875",6007,"CA_Butte "
"39.40625_-121.90625",6021,"CA_Glenn "
"39.40625_-121.96875",6021,"CA_Glenn "
"39.40625_-122.03125",6011,"CA_Colusa "
"39.40625_-122.09375",6011,"CA_Colusa "
"39.40625_-122.15625",6021,"CA_Glenn "
"39.40625_-122.28125",6021,"CA_Glenn "
"39.40625_-78.03125",54003,"WV_Berkeley "
"39.40625_-78.09375",54003,"WV_Berkeley "
"39.40625_-78.28125",51069,"VA_Frederick "
"39.46875_-121.59375",6007,"CA_Butte "
"39.46875_-121.65625",6007,"CA_Butte "
"39.46875_-121.90625",6021,"CA_Glenn "
"39.46875_-121.96875",6021,"CA_Glenn "
"39.46875_-122.03125",6021,"CA_Glenn "
"39.46875_-122.15625",6021,"CA_Glenn "
"39.46875_-122.21875",6021,"CA_Glenn "
"39.46875_-122.28125",6021,"CA_Glenn "
"39.46875_-78.03125",54003,"WV_Berkeley "
"39.53125_-121.71875",6007,"CA_Butte "
"39.53125_-121.96875",6021,"CA_Glenn "
"39.53125_-122.03125",6021,"CA_Glenn "
"39.53125_-122.09375",6021,"CA_Glenn "
"39.53125_-122.15625",6021,"CA_Glenn "
"39.53125_-122.21875",6021,"CA_Glenn "
"39.53125_-122.28125",6021,"CA_Glenn "
"39.53125_-77.96875",54003,"WV_Berkeley "
"39.53125_-78.21875",54065,"WV_Morgan "
"39.59375_-121.65625",6007,"CA_Butte "
"39.59375_-121.71875",6007,"CA_Butte "
"39.59375_-121.78125",6007,"CA_Butte "
"39.59375_-121.84375",6007,"CA_Butte "
"39.59375_-121.90625",6007,"CA_Butte "
"39.59375_-121.96875",6007,"CA_Butte "
"39.59375_-122.03125",6021,"CA_Glenn "
"39.59375_-122.09375",6021,"CA_Glenn "
"39.59375_-122.15625",6021,"CA_Glenn "
"39.59375_-122.21875",6021,"CA_Glenn "
"39.59375_-122.28125",6021,"CA_Glenn "
"39.65625_-121.78125",6007,"CA_Butte "
"39.65625_-121.84375",6007,"CA_Butte "
"39.65625_-121.90625",6007,"CA_Butte "
"39.65625_-121.96875",6007,"CA_Butte "
"39.65625_-122.03125",6021,"CA_Glenn "
"39.65625_-122.09375",6021,"CA_Glenn "
"39.65625_-122.15625",6021,"CA_Glenn "
"39.65625_-122.21875",6021,"CA_Glenn "
"39.65625_-122.28125",6021,"CA_Glenn "
"39.65625_-77.59375",24043,"MD_Washington "
"39.71875_-121.78125",6007,"CA_Butte "
"39.71875_-121.84375",6007,"CA_Butte "
"39.71875_-121.90625",6007,"CA_Butte "
"39.71875_-121.96875",6021,"CA_Glenn "
"39.71875_-122.03125",6021,"CA_Glenn "
"39.71875_-122.09375",6021,"CA_Glenn "
"39.71875_-122.15625",6021,"CA_Glenn "
"39.71875_-122.21875",6021,"CA_Glenn "
"39.71875_-122.28125",6021,"CA_Glenn "
"39.71875_-77.53125",24043,"MD_Washington "
"39.78125_-121.90625",6007,"CA_Butte "
"39.78125_-121.96875",6007,"CA_Butte "
"39.78125_-122.03125",6021,"CA_Glenn "
"39.78125_-122.09375",6021,"CA_Glenn "
"39.78125_-122.15625",6021,"CA_Glenn "
"39.84375_-121.90625",6007,"CA_Butte "
"39.84375_-121.96875",6007,"CA_Butte "
"39.84375_-122.03125",6007,"CA_Butte "
"39.84375_-122.09375",6103,"CA_Tehama "
"39.84375_-122.15625",6103,"CA_Tehama "
"39.84375_-77.34375",42001,"PA_Adams "
"39.84375_-77.40625",42001,"PA_Adams "
"39.90625_-121.96875",6103,"CA_Tehama "
"39.90625_-122.03125",6103,"CA_Tehama "
"39.90625_-122.09375",6103,"CA_Tehama "
"39.90625_-122.15625",6103,"CA_Tehama "
"39.90625_-122.21875",6103,"CA_Tehama "
"39.90625_-122.28125",6103,"CA_Tehama "
"39.90625_-77.28125",42001,"PA_Adams "
"39.90625_-77.34375",42001,"PA_Adams "
"39.90625_-77.40625",42001,"PA_Adams "
"39.96875_-121.96875",6103,"CA_Tehama "
"39.96875_-122.03125",6103,"CA_Tehama "
"39.96875_-122.09375",6103,"CA_Tehama "
"39.96875_-122.15625",6103,"CA_Tehama "
"39.96875_-122.21875",6103,"CA_Tehama "
