"location","fips","st_county"
"47.90625_-119.96875",53007,"WA_Chelan "
"47.90625_-120.09375",53007,"WA_Chelan "
"47.90625_-120.15625",53007,"WA_Chelan "
"47.90625_-120.21875",53007,"WA_Chelan "
"47.96875_-119.65625",53017,"WA_Douglas "
"47.96875_-119.90625",53047,"WA_Okanogan "
"48.03125_-119.53125",53017,"WA_Douglas "
"48.03125_-119.59375",53047,"WA_Okanogan "
"48.03125_-119.65625",53047,"WA_Okanogan "
"48.03125_-119.71875",53017,"WA_Douglas "
"48.03125_-119.78125",53017,"WA_Douglas "
"48.03125_-119.84375",53017,"WA_Douglas "
"48.03125_-119.90625",53047,"WA_Okanogan "
"48.03125_-119.96875",53047,"WA_Okanogan "
"48.09375_-119.53125",53047,"WA_Okanogan "
"48.09375_-119.65625",53047,"WA_Okanogan "
"48.09375_-119.71875",53047,"WA_Okanogan "
"48.09375_-119.78125",53047,"WA_Okanogan "
"48.09375_-119.84375",53047,"WA_Okanogan "
"48.09375_-119.90625",53047,"WA_Okanogan "
"48.09375_-119.96875",53047,"WA_Okanogan "
"48.09375_-120.03125",53047,"WA_Okanogan "
"48.15625_-119.65625",53047,"WA_Okanogan "
"48.15625_-119.71875",53047,"WA_Okanogan "
"48.15625_-119.78125",53047,"WA_Okanogan "
"48.21875_-119.71875",53047,"WA_Okanogan "
"48.28125_-119.65625",53047,"WA_Okanogan "
"48.28125_-119.71875",53047,"WA_Okanogan "
"48.34375_-119.59375",53047,"WA_Okanogan "
"48.34375_-119.65625",53047,"WA_Okanogan "
"48.40625_-119.53125",53047,"WA_Okanogan "
"48.40625_-119.59375",53047,"WA_Okanogan "
"48.46875_-119.46875",53047,"WA_Okanogan "
"48.46875_-119.53125",53047,"WA_Okanogan "
"48.65625_-119.46875",53047,"WA_Okanogan "
"48.71875_-119.40625",53047,"WA_Okanogan "
"48.71875_-119.46875",53047,"WA_Okanogan "
"48.78125_-119.40625",53047,"WA_Okanogan "
"48.78125_-119.46875",53047,"WA_Okanogan "
"48.78125_-119.53125",53047,"WA_Okanogan "
"48.84375_-119.40625",53047,"WA_Okanogan "
"48.84375_-119.53125",53047,"WA_Okanogan "
"48.90625_-119.40625",53047,"WA_Okanogan "
"48.90625_-119.46875",53047,"WA_Okanogan "
"48.90625_-119.59375",53047,"WA_Okanogan "
"48.96875_-119.40625",53047,"WA_Okanogan "
"48.96875_-119.46875",53047,"WA_Okanogan "
