"location","elevation","state_fips","state","lat","long","biofix"
"37.03125_-119.96875",106.5,"06","CA",37.03125,-119.96875,211.887102539062
"37.03125_-120.03125",97.7,"06","CA",37.03125,-120.03125,211.887102539062
"37.03125_-120.09375",84.5,"06","CA",37.03125,-120.09375,211.887102539062
"37.03125_-120.15625",76.8,"06","CA",37.03125,-120.15625,211.887102539062
"37.03125_-120.21875",70.1,"06","CA",37.03125,-120.21875,211.887102539062
"37.03125_-120.28125",62.6,"06","CA",37.03125,-120.28125,211.887102539062
"37.03125_-120.34375",55.9,"06","CA",37.03125,-120.34375,211.887102539062
"37.09375_-120.09375",95.4,"06","CA",37.09375,-120.09375,210.725672851563
"37.09375_-120.15625",86.9,"06","CA",37.09375,-120.15625,210.725672851563
"37.09375_-120.21875",77.3,"06","CA",37.09375,-120.21875,210.725672851563
"37.09375_-120.28125",69.3,"06","CA",37.09375,-120.28125,210.725672851563
"37.15625_-120.21875",82.5,"06","CA",37.15625,-120.21875,209.570063476562
"37.15625_-121.03125",50.8,"06","CA",37.15625,-121.03125,209.570063476562
"37.21875_-120.21875",83,"06","CA",37.21875,-120.21875,208.420274414063
"37.21875_-120.28125",73.5,"06","CA",37.21875,-120.28125,208.420274414063
"37.21875_-120.34375",65.3,"06","CA",37.21875,-120.34375,208.420274414063
"37.21875_-120.40625",56,"06","CA",37.21875,-120.40625,208.420274414063
"37.21875_-121.03125",39.9,"06","CA",37.21875,-121.03125,208.420274414063
"37.28125_-120.28125",77.2,"06","CA",37.28125,-120.28125,207.276305664063
"37.28125_-120.34375",67.1,"06","CA",37.28125,-120.34375,207.276305664063
"37.28125_-120.40625",59.9,"06","CA",37.28125,-120.40625,207.276305664063
"37.28125_-121.03125",32.8,"06","CA",37.28125,-121.03125,207.276305664063
"37.28125_-121.09375",64.1,"06","CA",37.28125,-121.09375,207.276305664063
"37.34375_-120.40625",68.3,"06","CA",37.34375,-120.40625,206.138157226562
"37.34375_-120.96875",21.4,"06","CA",37.34375,-120.96875,206.138157226562
"37.34375_-121.03125",27.9,"06","CA",37.34375,-121.03125,206.138157226562
"37.34375_-121.09375",50.1,"06","CA",37.34375,-121.09375,206.138157226562
"37.40625_-120.53125",67,"06","CA",37.40625,-120.53125,205.005829101563
"37.40625_-120.71875",43.5,"06","CA",37.40625,-120.71875,205.005829101563
"37.40625_-121.03125",21.7,"06","CA",37.40625,-121.03125,205.005829101563
"37.40625_-121.09375",40.3,"06","CA",37.40625,-121.09375,205.005829101563
"37.40625_-121.15625",100.8,"06","CA",37.40625,-121.15625,205.005829101563
"37.46875_-120.46875",90.1,"06","CA",37.46875,-120.46875,203.879321289062
"37.46875_-120.53125",65,"06","CA",37.46875,-120.53125,203.879321289062
"37.46875_-120.59375",59,"06","CA",37.46875,-120.59375,203.879321289062
"37.46875_-120.65625",57.7,"06","CA",37.46875,-120.65625,203.879321289062
"37.46875_-120.71875",49.7,"06","CA",37.46875,-120.71875,203.879321289062
"37.46875_-120.78125",40.5,"06","CA",37.46875,-120.78125,203.879321289062
"37.46875_-121.03125",15.9,"06","CA",37.46875,-121.03125,203.879321289062
"37.46875_-121.09375",20.2,"06","CA",37.46875,-121.09375,203.879321289062
"37.46875_-121.15625",49.4,"06","CA",37.46875,-121.15625,203.879321289062
"37.46875_-121.21875",211.8,"06","CA",37.46875,-121.21875,203.879321289062
"37.53125_-120.65625",71.6,"06","CA",37.53125,-120.65625,202.758633789063
"37.53125_-120.71875",60.1,"06","CA",37.53125,-120.71875,202.758633789063
"37.53125_-120.96875",21.7,"06","CA",37.53125,-120.96875,202.758633789063
"37.53125_-121.03125",16,"06","CA",37.53125,-121.03125,202.758633789063
"37.53125_-121.09375",13.6,"06","CA",37.53125,-121.09375,202.758633789063
"37.53125_-121.15625",23.7,"06","CA",37.53125,-121.15625,202.758633789063
"37.53125_-121.21875",54.6,"06","CA",37.53125,-121.21875,202.758633789063
"37.53125_-121.28125",205.6,"06","CA",37.53125,-121.28125,202.758633789063
"37.59375_-120.71875",57,"06","CA",37.59375,-120.71875,201.643766601562
"37.59375_-120.78125",45.5,"06","CA",37.59375,-120.78125,201.643766601562
"37.59375_-120.84375",38.1,"06","CA",37.59375,-120.84375,201.643766601562
"37.59375_-120.90625",30.3,"06","CA",37.59375,-120.90625,201.643766601562
"37.59375_-120.96875",25.4,"06","CA",37.59375,-120.96875,201.643766601562
"37.59375_-121.03125",21.8,"06","CA",37.59375,-121.03125,201.643766601562
"37.59375_-121.09375",17.1,"06","CA",37.59375,-121.09375,201.643766601562
