ARRAYID,Location
560,data_46.21875_-122.96875
561,data_46.21875_-122.90625
562,data_46.21875_-122.84375
563,data_46.21875_-122.78125
564,data_46.21875_-122.71875
565,data_46.21875_-122.65625
566,data_46.21875_-122.59375
567,data_46.21875_-122.53125
568,data_46.21875_-122.46875
569,data_46.21875_-122.40625
570,data_46.21875_-122.34375
571,data_46.21875_-122.28125
572,data_46.21875_-122.21875
573,data_46.21875_-122.15625
574,data_46.21875_-122.09375
575,data_46.21875_-122.03125
576,data_46.21875_-121.96875
577,data_46.21875_-121.90625
578,data_46.21875_-121.84375
579,data_46.21875_-121.78125
580,data_46.21875_-121.71875
581,data_46.21875_-121.65625
582,data_46.21875_-121.59375
583,data_46.21875_-121.53125
584,data_46.21875_-121.46875
585,data_46.21875_-121.40625
586,data_46.21875_-121.34375
587,data_46.21875_-121.28125
588,data_46.21875_-121.21875
589,data_46.21875_-121.15625
590,data_46.21875_-121.09375
591,data_46.21875_-121.03125
592,data_46.21875_-120.96875
593,data_46.21875_-120.90625
594,data_46.21875_-120.84375
595,data_46.21875_-120.78125
596,data_46.21875_-120.71875
597,data_46.21875_-120.65625
598,data_46.21875_-120.59375
599,data_46.21875_-120.53125
600,data_46.21875_-120.46875
601,data_46.21875_-120.40625
602,data_46.21875_-120.34375
603,data_46.21875_-120.28125
604,data_46.21875_-120.21875
605,data_46.21875_-120.15625
606,data_46.21875_-120.09375
607,data_46.21875_-120.03125
608,data_46.21875_-119.96875
609,data_46.21875_-119.90625
610,data_46.21875_-119.84375
611,data_46.21875_-119.78125
612,data_46.21875_-119.71875
613,data_46.21875_-119.65625
614,data_46.21875_-119.59375
615,data_46.21875_-119.53125
616,data_46.21875_-119.46875
617,data_46.21875_-119.40625
618,data_46.21875_-119.34375
619,data_46.21875_-119.28125
620,data_46.21875_-119.21875
621,data_46.21875_-119.15625
622,data_46.21875_-119.09375
623,data_46.21875_-119.03125
624,data_46.21875_-118.96875
625,data_46.21875_-118.90625
626,data_46.21875_-118.84375
627,data_46.21875_-118.78125
628,data_46.21875_-118.71875
629,data_46.21875_-118.65625
630,data_46.21875_-118.59375
631,data_46.21875_-118.53125
632,data_46.21875_-118.46875
633,data_46.21875_-118.40625
634,data_46.21875_-118.34375
635,data_46.21875_-118.28125
636,data_46.21875_-118.21875
637,data_46.21875_-118.15625
638,data_46.21875_-118.09375
639,data_46.21875_-118.03125
640,data_46.21875_-117.96875
641,data_46.21875_-117.90625
642,data_46.21875_-117.84375
643,data_46.21875_-117.78125
644,data_46.21875_-117.71875
645,data_46.21875_-117.65625
646,data_46.21875_-117.59375
647,data_46.21875_-117.53125
648,data_46.21875_-117.46875
649,data_46.21875_-117.40625
650,data_46.21875_-117.34375
651,data_46.21875_-117.28125
652,data_46.21875_-117.21875
653,data_46.21875_-117.15625
654,data_46.21875_-117.09375
655,data_46.21875_-117.03125
656,data_46.21875_-116.96875
657,data_46.28125_-124.09375
658,data_46.28125_-124.03125
659,data_46.28125_-123.96875
660,data_46.28125_-123.90625
661,data_46.28125_-123.84375
662,data_46.28125_-123.78125
663,data_46.28125_-123.71875
664,data_46.28125_-123.65625
665,data_46.28125_-123.59375
666,data_46.28125_-123.53125
667,data_46.28125_-123.46875
668,data_46.28125_-123.40625
669,data_46.28125_-123.34375
670,data_46.28125_-123.28125
671,data_46.28125_-123.21875
672,data_46.28125_-123.15625
673,data_46.28125_-123.09375
674,data_46.28125_-123.03125
675,data_46.28125_-122.96875
676,data_46.28125_-122.90625
677,data_46.28125_-122.84375
678,data_46.28125_-122.78125
679,data_46.28125_-122.71875
680,data_46.28125_-122.65625
681,data_46.28125_-122.59375
682,data_46.28125_-122.53125
683,data_46.28125_-122.46875
684,data_46.28125_-122.40625
685,data_46.28125_-122.34375
686,data_46.28125_-122.28125
687,data_46.28125_-122.21875
688,data_46.28125_-122.15625
689,data_46.28125_-122.09375
690,data_46.28125_-122.03125
691,data_46.28125_-121.96875
692,data_46.28125_-121.90625
693,data_46.28125_-121.84375
694,data_46.28125_-121.78125
695,data_46.28125_-121.71875
696,data_46.28125_-121.65625
697,data_46.28125_-121.59375
698,data_46.28125_-121.53125
699,data_46.28125_-121.46875
700,data_46.28125_-121.40625
701,data_46.28125_-121.34375
702,data_46.28125_-121.28125
703,data_46.28125_-121.21875
704,data_46.28125_-121.15625
705,data_46.28125_-121.09375
706,data_46.28125_-121.03125
707,data_46.28125_-120.96875
708,data_46.28125_-120.90625
709,data_46.28125_-120.84375
710,data_46.28125_-120.78125
711,data_46.28125_-120.71875
712,data_46.28125_-120.65625
713,data_46.28125_-120.59375
714,data_46.28125_-120.53125
715,data_46.28125_-120.46875
716,data_46.28125_-120.40625
717,data_46.28125_-120.34375
718,data_46.28125_-120.28125
719,data_46.28125_-120.21875
720,data_46.28125_-120.15625
721,data_46.28125_-120.09375
722,data_46.28125_-120.03125
723,data_46.28125_-119.96875
724,data_46.28125_-119.90625
725,data_46.28125_-119.84375
726,data_46.28125_-119.78125
727,data_46.28125_-119.71875
728,data_46.28125_-119.65625
729,data_46.28125_-119.59375
730,data_46.28125_-119.53125
731,data_46.28125_-119.46875
732,data_46.28125_-119.40625
733,data_46.28125_-119.34375
734,data_46.28125_-119.28125
735,data_46.28125_-119.21875
736,data_46.28125_-119.15625
737,data_46.28125_-119.09375
738,data_46.28125_-119.03125
739,data_46.28125_-118.96875
740,data_46.28125_-118.90625
741,data_46.28125_-118.84375
742,data_46.28125_-118.78125
743,data_46.28125_-118.71875
744,data_46.28125_-118.65625
745,data_46.28125_-118.59375
746,data_46.28125_-118.53125
747,data_46.28125_-118.46875
748,data_46.28125_-118.40625
749,data_46.28125_-118.34375
750,data_46.28125_-118.28125
751,data_46.28125_-118.21875
752,data_46.28125_-118.15625
753,data_46.28125_-118.09375
754,data_46.28125_-118.03125
755,data_46.28125_-117.96875
756,data_46.28125_-117.90625
757,data_46.28125_-117.84375
758,data_46.28125_-117.78125
759,data_46.28125_-117.71875
760,data_46.28125_-117.65625
761,data_46.28125_-117.59375
762,data_46.28125_-117.53125
763,data_46.28125_-117.46875
764,data_46.28125_-117.40625
765,data_46.28125_-117.34375
766,data_46.28125_-117.28125
767,data_46.28125_-117.21875
768,data_46.28125_-117.15625
769,data_46.28125_-117.09375
770,data_46.28125_-117.03125
771,data_46.34375_-124.03125
772,data_46.34375_-123.96875
773,data_46.34375_-123.90625
774,data_46.34375_-123.84375
775,data_46.34375_-123.78125
776,data_46.34375_-123.71875
777,data_46.34375_-123.65625
778,data_46.34375_-123.59375
779,data_46.34375_-123.53125
780,data_46.34375_-123.46875
781,data_46.34375_-123.40625
782,data_46.34375_-123.34375
783,data_46.34375_-123.28125
784,data_46.34375_-123.21875
785,data_46.34375_-123.15625
786,data_46.34375_-123.09375
787,data_46.34375_-123.03125
788,data_46.34375_-122.96875
789,data_46.34375_-122.90625
790,data_46.34375_-122.84375
791,data_46.34375_-122.78125
792,data_46.34375_-122.71875
793,data_46.34375_-122.65625
794,data_46.34375_-122.59375
795,data_46.34375_-122.53125
796,data_46.34375_-122.46875
797,data_46.34375_-122.40625
798,data_46.34375_-122.34375
799,data_46.34375_-122.28125
800,data_46.34375_-122.21875
801,data_46.34375_-122.15625
802,data_46.34375_-122.09375
803,data_46.34375_-122.03125
804,data_46.34375_-121.96875
805,data_46.34375_-121.90625
806,data_46.34375_-121.84375
807,data_46.34375_-121.78125
808,data_46.34375_-121.71875
809,data_46.34375_-121.65625
810,data_46.34375_-121.59375
811,data_46.34375_-121.53125
812,data_46.34375_-121.46875
813,data_46.34375_-121.40625
814,data_46.34375_-121.34375
815,data_46.34375_-121.28125
816,data_46.34375_-121.21875
817,data_46.34375_-121.15625
818,data_46.34375_-121.09375
819,data_46.34375_-121.03125
820,data_46.34375_-120.96875
821,data_46.34375_-120.90625
822,data_46.34375_-120.84375
823,data_46.34375_-120.78125
824,data_46.34375_-120.71875
825,data_46.34375_-120.65625
826,data_46.34375_-120.59375
827,data_46.34375_-120.53125
828,data_46.34375_-120.46875
829,data_46.34375_-120.40625
830,data_46.34375_-120.34375
831,data_46.34375_-120.28125
832,data_46.34375_-120.21875
833,data_46.34375_-120.15625
834,data_46.34375_-120.09375
835,data_46.34375_-120.03125
836,data_46.34375_-119.96875
837,data_46.34375_-119.90625
838,data_46.34375_-119.84375
839,data_46.34375_-119.78125
840,data_46.34375_-119.71875
841,data_46.34375_-119.65625
842,data_46.34375_-119.59375
843,data_46.34375_-119.53125
844,data_46.34375_-119.46875
