"FPU","year","location","model"
1.45342789801424,2050,"RWI","noco2"
4.67169072332875,2005,"SEU","noco2"
4.66643118872024,2006,"SEU","noco2"
4.66080040542625,2007,"SEU","noco2"
4.65514660803191,2008,"SEU","noco2"
4.6492379872111,2009,"SEU","noco2"
4.64280293652525,2010,"SEU","noco2"
4.64768496622905,2011,"SEU","noco2"
4.65305694495213,2012,"SEU","noco2"
4.65867262679744,2013,"SEU","noco2"
4.66412799157043,2014,"SEU","noco2"
4.66168479109156,2015,"SEU","noco2"
4.69011173629568,2016,"SEU","noco2"
4.71878238245091,2017,"SEU","noco2"
4.74693011923466,2018,"SEU","noco2"
4.77595775317306,2019,"SEU","noco2"
4.81505529633959,2020,"SEU","noco2"
4.84948193749956,2021,"SEU","noco2"
4.88446010987346,2022,"SEU","noco2"
4.91959286261088,2023,"SEU","noco2"
4.95473183088285,2024,"SEU","noco2"
4.98927294800627,2025,"SEU","noco2"
5.02286923275413,2026,"SEU","noco2"
5.05808647383047,2027,"SEU","noco2"
5.09211120698066,2028,"SEU","noco2"
5.12790405561755,2029,"SEU","noco2"
5.16245211974532,2030,"SEU","noco2"
5.19831483056588,2031,"SEU","noco2"
5.23385883366495,2032,"SEU","noco2"
5.26941700598588,2033,"SEU","noco2"
5.30606848933405,2034,"SEU","noco2"
5.34295547797186,2035,"SEU","noco2"
5.38138815484202,2036,"SEU","noco2"
5.42099839111309,2037,"SEU","noco2"
5.46049978640558,2038,"SEU","noco2"
5.50022817228657,2039,"SEU","noco2"
5.54084041447806,2040,"SEU","noco2"
5.58014381580629,2041,"SEU","noco2"
5.62086374432669,2042,"SEU","noco2"
5.66242248321881,2043,"SEU","noco2"
5.70377285682336,2044,"SEU","noco2"
5.74620192309654,2045,"SEU","noco2"
5.78578232910894,2046,"SEU","noco2"
5.82811940052148,2047,"SEU","noco2"
5.86888658986812,2048,"SEU","noco2"
5.91049423603658,2049,"SEU","noco2"
5.95384789516429,2050,"SEU","noco2"
1.46031937492651,2005,"USN","noco2"
1.46628029788584,2006,"USN","noco2"
1.47462004908843,2007,"USN","noco2"
1.48283666627764,2008,"USN","noco2"
1.49338449208069,2009,"USN","noco2"
1.50336912142158,2010,"USN","noco2"
1.51858274648506,2011,"USN","noco2"
1.53353589652485,2012,"USN","noco2"
1.54813932425075,2013,"USN","noco2"
1.56169236191965,2014,"USN","noco2"
1.57580984450034,2015,"USN","noco2"
1.59007229271047,2016,"USN","noco2"
