"lat","long","locationGroup","location"
44.09375,-123.03125,"Oregon Area","44.09375_-123.03125"
44.09375,-122.96875,"Oregon Area","44.09375_-122.96875"
44.09375,-122.90625,"Oregon Area","44.09375_-122.90625"
44.09375,-122.84375,"Oregon Area","44.09375_-122.84375"
44.09375,-117.09375,"Oregon Area","44.09375_-117.09375"
44.09375,-117.03125,"Oregon Area","44.09375_-117.03125"
44.09375,-116.96875,"Oregon Area","44.09375_-116.96875"
44.09375,-116.90625,"Oregon Area","44.09375_-116.90625"
44.09375,-116.78125,"Oregon Area","44.09375_-116.78125"
44.09375,-116.71875,"Oregon Area","44.09375_-116.71875"
44.15625,-123.84375,"Oregon Area","44.15625_-123.84375"
44.15625,-123.71875,"Oregon Area","44.15625_-123.71875"
44.15625,-123.59375,"Oregon Area","44.15625_-123.59375"
44.15625,-123.34375,"Oregon Area","44.15625_-123.34375"
44.15625,-123.28125,"Oregon Area","44.15625_-123.28125"
44.15625,-123.21875,"Oregon Area","44.15625_-123.21875"
44.15625,-123.15625,"Oregon Area","44.15625_-123.15625"
44.15625,-123.09375,"Oregon Area","44.15625_-123.09375"
44.15625,-123.03125,"Oregon Area","44.15625_-123.03125"
44.15625,-122.90625,"Oregon Area","44.15625_-122.90625"
44.15625,-122.84375,"Oregon Area","44.15625_-122.84375"
44.15625,-122.46875,"Oregon Area","44.15625_-122.46875"
44.15625,-122.15625,"Oregon Area","44.15625_-122.15625"
44.15625,-116.96875,"Oregon Area","44.15625_-116.96875"
44.15625,-116.90625,"Oregon Area","44.15625_-116.90625"
44.15625,-116.84375,"Oregon Area","44.15625_-116.84375"
44.21875,-123.53125,"Oregon Area","44.21875_-123.53125"
44.21875,-123.40625,"Oregon Area","44.21875_-123.40625"
44.21875,-123.34375,"Oregon Area","44.21875_-123.34375"
44.21875,-123.28125,"Oregon Area","44.21875_-123.28125"
44.21875,-123.21875,"Oregon Area","44.21875_-123.21875"
44.21875,-123.15625,"Oregon Area","44.21875_-123.15625"
44.21875,-123.09375,"Oregon Area","44.21875_-123.09375"
44.21875,-123.03125,"Oregon Area","44.21875_-123.03125"
44.21875,-122.84375,"Oregon Area","44.21875_-122.84375"
44.21875,-121.40625,"Oregon Area","44.21875_-121.40625"
44.21875,-117.03125,"Oregon Area","44.21875_-117.03125"
44.21875,-116.96875,"Oregon Area","44.21875_-116.96875"
44.21875,-116.90625,"Oregon Area","44.21875_-116.90625"
44.28125,-123.40625,"Oregon Area","44.28125_-123.40625"
44.28125,-123.34375,"Oregon Area","44.28125_-123.34375"
44.28125,-123.28125,"Oregon Area","44.28125_-123.28125"
44.28125,-123.21875,"Oregon Area","44.28125_-123.21875"
44.28125,-123.15625,"Oregon Area","44.28125_-123.15625"
44.28125,-123.09375,"Oregon Area","44.28125_-123.09375"
44.28125,-123.03125,"Oregon Area","44.28125_-123.03125"
44.28125,-122.96875,"Oregon Area","44.28125_-122.96875"
44.28125,-117.03125,"Oregon Area","44.28125_-117.03125"
44.28125,-116.96875,"Oregon Area","44.28125_-116.96875"
44.28125,-116.84375,"Oregon Area","44.28125_-116.84375"
44.34375,-123.71875,"Oregon Area","44.34375_-123.71875"
44.34375,-123.65625,"Oregon Area","44.34375_-123.65625"
44.34375,-123.59375,"Oregon Area","44.34375_-123.59375"
44.34375,-123.40625,"Oregon Area","44.34375_-123.40625"
44.34375,-123.34375,"Oregon Area","44.34375_-123.34375"
44.34375,-123.28125,"Oregon Area","44.34375_-123.28125"
44.34375,-123.21875,"Oregon Area","44.34375_-123.21875"
44.34375,-123.15625,"Oregon Area","44.34375_-123.15625"
44.34375,-123.09375,"Oregon Area","44.34375_-123.09375"
44.34375,-123.03125,"Oregon Area","44.34375_-123.03125"
44.34375,-122.96875,"Oregon Area","44.34375_-122.96875"
44.34375,-122.90625,"Oregon Area","44.34375_-122.90625"
44.34375,-122.84375,"Oregon Area","44.34375_-122.84375"
44.34375,-122.78125,"Oregon Area","44.34375_-122.78125"
44.34375,-121.53125,"Oregon Area","44.34375_-121.53125"
44.34375,-121.15625,"Oregon Area","44.34375_-121.15625"
44.40625,-123.71875,"Oregon Area","44.40625_-123.71875"
44.40625,-123.65625,"Oregon Area","44.40625_-123.65625"
44.40625,-123.59375,"Oregon Area","44.40625_-123.59375"
44.40625,-123.40625,"Oregon Area","44.40625_-123.40625"
44.40625,-123.34375,"Oregon Area","44.40625_-123.34375"
44.40625,-123.28125,"Oregon Area","44.40625_-123.28125"
44.40625,-123.21875,"Oregon Area","44.40625_-123.21875"
44.40625,-123.15625,"Oregon Area","44.40625_-123.15625"
44.40625,-123.09375,"Oregon Area","44.40625_-123.09375"
44.40625,-123.03125,"Oregon Area","44.40625_-123.03125"
44.40625,-122.96875,"Oregon Area","44.40625_-122.96875"
44.40625,-122.90625,"Oregon Area","44.40625_-122.90625"
44.40625,-122.78125,"Oregon Area","44.40625_-122.78125"
44.40625,-122.71875,"Oregon Area","44.40625_-122.71875"
44.40625,-119.03125,"Oregon Area","44.40625_-119.03125"
44.46875,-123.46875,"Oregon Area","44.46875_-123.46875"
44.46875,-123.40625,"Oregon Area","44.46875_-123.40625"
44.46875,-123.34375,"Oregon Area","44.46875_-123.34375"
44.46875,-123.28125,"Oregon Area","44.46875_-123.28125"
44.46875,-123.21875,"Oregon Area","44.46875_-123.21875"
44.46875,-123.15625,"Oregon Area","44.46875_-123.15625"
44.46875,-123.09375,"Oregon Area","44.46875_-123.09375"
44.46875,-123.03125,"Oregon Area","44.46875_-123.03125"
44.46875,-122.96875,"Oregon Area","44.46875_-122.96875"
44.46875,-122.90625,"Oregon Area","44.46875_-122.90625"
44.46875,-122.84375,"Oregon Area","44.46875_-122.84375"
44.46875,-122.78125,"Oregon Area","44.46875_-122.78125"
44.46875,-122.71875,"Oregon Area","44.46875_-122.71875"
44.46875,-121.65625,"Oregon Area","44.46875_-121.65625"
44.53125,-123.71875,"Oregon Area","44.53125_-123.71875"
44.53125,-123.46875,"Oregon Area","44.53125_-123.46875"
44.53125,-123.40625,"Oregon Area","44.53125_-123.40625"
44.53125,-123.34375,"Oregon Area","44.53125_-123.34375"
44.53125,-123.28125,"Oregon Area","44.53125_-123.28125"
44.53125,-123.21875,"Oregon Area","44.53125_-123.21875"
44.53125,-123.15625,"Oregon Area","44.53125_-123.15625"
44.53125,-123.09375,"Oregon Area","44.53125_-123.09375"
44.53125,-123.03125,"Oregon Area","44.53125_-123.03125"
44.53125,-122.96875,"Oregon Area","44.53125_-122.96875"
44.53125,-122.90625,"Oregon Area","44.53125_-122.90625"
44.53125,-122.84375,"Oregon Area","44.53125_-122.84375"
44.53125,-122.78125,"Oregon Area","44.53125_-122.78125"
44.53125,-122.34375,"Oregon Area","44.53125_-122.34375"
44.53125,-116.71875,"Oregon Area","44.53125_-116.71875"
